"group","id","niche_type","n_points","n_axes","rsp_column","weighted","volume_observed"
"soil","5181","Potential",188,7,"rsp_soil",TRUE,244.220364925146
"soil","5181","Realized",46,7,"rsp_soil",TRUE,108.793675125537
"soil","5264","Potential",1475,7,"rsp_soil",TRUE,977.262104414964
"soil","5264","Realized",289,7,"rsp_soil",TRUE,372.9793924072
"soil","5268","Potential",348,7,"rsp_soil",TRUE,427.58818048792
"soil","5268","Realized",119,7,"rsp_soil",TRUE,284.796312604151
"soil","5270","Potential",182,7,"rsp_soil",TRUE,170.740654482873
"soil","5270","Realized",51,7,"rsp_soil",TRUE,144.871049238515
"soil","5277","Potential",108,7,"rsp_soil",TRUE,347.780998764754
"soil","5277","Realized",44,7,"rsp_soil",TRUE,236.626348714024
"soil","5278","Potential",419,7,"rsp_soil",TRUE,513.297142024145
"soil","5278","Realized",100,7,"rsp_soil",TRUE,268.200322862192
"soil","5282","Potential",145,7,"rsp_soil",TRUE,277.407123184312
"soil","5282","Realized",38,7,"rsp_soil",TRUE,128.232853705995
"soil","5284","Potential",34,7,"rsp_soil",TRUE,NA
"soil","5284","Realized",18,7,"rsp_soil",TRUE,NA
"soil","5285","Potential",938,7,"rsp_soil",TRUE,463.254133105552
"soil","5285","Realized",183,7,"rsp_soil",TRUE,138.400748766563
"soil","5301","Potential",5822,7,"rsp_soil",TRUE,1024.01065374451
"soil","5301","Realized",1119,7,"rsp_soil",TRUE,579.450117305059
"soil","5303","Potential",1493,7,"rsp_soil",TRUE,695.268573220709
"soil","5303","Realized",356,7,"rsp_soil",TRUE,445.372215204697
"soil","5308","Potential",157,7,"rsp_soil",TRUE,269.525197256886
"soil","5308","Realized",29,7,"rsp_soil",TRUE,NA
"soil","5439","Potential",747,7,"rsp_soil",TRUE,346.243354973219
"soil","5439","Realized",198,7,"rsp_soil",TRUE,319.421531011813
