"id","niche_type","n_points"
"5181","Potential",188
"5181","Realized",49
"5264","Potential",1476
"5264","Realized",289
"5268","Potential",348
"5268","Realized",119
"5270","Potential",182
"5270","Realized",51
"5277","Potential",108
"5277","Realized",44
"5278","Potential",419
"5278","Realized",100
"5282","Potential",145
"5282","Realized",38
"5284","Potential",34
"5284","Realized",18
"5285","Potential",938
"5285","Realized",183
"5301","Potential",5822
"5301","Realized",1119
"5303","Potential",1535
"5303","Realized",365
"5308","Potential",157
"5308","Realized",29
"5439","Potential",747
"5439","Realized",198
