"group","id","season","niche_type","boot_path","volume_boot_mean","volume_lwr","volume_upr"
"food","5181","Spring","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5181_Spring_Potential_boot",2.18711586395126,1.37530853243084,3.17191493560358
"food","5181","Spring","Realized","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5181_Spring_Realized_boot",205.384434220855,116.571562283919,278.58765309168
"food","5181","Summer","Potential",NA,NA,NA,NA
"food","5181","Summer","Realized",NA,NA,NA,NA
"food","5181","Autumn","Potential",NA,NA,NA,NA
"food","5181","Autumn","Realized",NA,NA,NA,NA
"food","5181","Winter","Potential",NA,NA,NA,NA
"food","5181","Winter","Realized",NA,NA,NA,NA
"food","5264","Spring","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5264_Spring_Potential_boot",1.15653863822882,0.65742271898518,1.69397468604955
"food","5264","Spring","Realized","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5264_Spring_Realized_boot",12.8130698162574,1.97924626579829,34.6328926656355
"food","5264","Summer","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5264_Summer_Potential_boot",5.35295651476668,4.54381420633242,6.2999079700458
"food","5264","Summer","Realized","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5264_Summer_Realized_boot",11.5659882302878,8.35970749003316,15.5212286891717
"food","5264","Autumn","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5264_Autumn_Potential_boot",17.3235846021515,15.3331345122138,19.6678862945594
"food","5264","Autumn","Realized","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5264_Autumn_Realized_boot",29.173402728234,20.8881152159887,34.9693960792264
"food","5264","Winter","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5264_Winter_Potential_boot",2.4072653180955,0.424340984194962,4.08208549325757
"food","5264","Winter","Realized",NA,NA,NA,NA
"food","5268","Spring","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5268_Spring_Potential_boot",4.28550466943213,2.34732522846967,6.21471220587435
"food","5268","Spring","Realized",NA,NA,NA,NA
"food","5268","Summer","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5268_Summer_Potential_boot",7.8446884559149,5.19939339623009,9.72393261955889
"food","5268","Summer","Realized","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5268_Summer_Realized_boot",23.2954124571918,1.33742134591152,48.8980849563107
"food","5268","Autumn","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5268_Autumn_Potential_boot",5.36193806148243,4.1123821222913,6.62837248499305
"food","5268","Autumn","Realized","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5268_Autumn_Realized_boot",112.41454083385,59.2306208936745,178.870700605373
"food","5268","Winter","Potential",NA,NA,NA,NA
"food","5268","Winter","Realized",NA,NA,NA,NA
"food","5270","Spring","Potential",NA,NA,NA,NA
"food","5270","Spring","Realized",NA,NA,NA,NA
"food","5270","Summer","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5270_Summer_Potential_boot",7.04323227084752,2.4203073594832,11.1553727241155
"food","5270","Summer","Realized",NA,NA,NA,NA
"food","5270","Autumn","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5270_Autumn_Potential_boot",2.92690064755678,2.07877964938417,3.75432926753363
"food","5270","Autumn","Realized","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5270_Autumn_Realized_boot",0.184533148357544,0.0325405255590398,0.373130909489801
"food","5270","Winter","Potential",NA,NA,NA,NA
"food","5270","Winter","Realized",NA,NA,NA,NA
"food","5277","Spring","Potential",NA,NA,NA,NA
"food","5277","Spring","Realized",NA,NA,NA,NA
"food","5277","Summer","Potential",NA,NA,NA,NA
"food","5277","Summer","Realized",NA,NA,NA,NA
"food","5277","Autumn","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5277_Autumn_Potential_boot",6.31446847992739,4.56370364639146,8.21357319665005
"food","5277","Autumn","Realized","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5277_Autumn_Realized_boot",19.4089901648549,1.04069549743527,47.1494323114327
"food","5277","Winter","Potential",NA,NA,NA,NA
"food","5277","Winter","Realized",NA,NA,NA,NA
"food","5278","Spring","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5278_Spring_Potential_boot",1.04589543144099,0.509834096425417,1.71015386651752
