"group","id","season","niche_type","boot_path","volume_boot_mean","volume_lwr","volume_upr"
"weather","5181","Spring","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\weather\Objects\weather_5181_Spring_Potential_boot",47.2672637691023,25.803573117329,62.3295301783517
"weather","5181","Spring","Realized","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\weather\Objects\weather_5181_Spring_Realized_boot",229.185731479023,126.561120604589,363.14809159007
"weather","5181","Summer","Potential",NA,NA,NA,NA
"weather","5181","Summer","Realized",NA,NA,NA,NA
"weather","5181","Autumn","Potential",NA,NA,NA,NA
"weather","5181","Autumn","Realized",NA,NA,NA,NA
"weather","5181","Winter","Potential",NA,NA,NA,NA
"weather","5181","Winter","Realized",NA,NA,NA,NA
"weather","5264","Spring","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\weather\Objects\weather_5264_Spring_Potential_boot",513.593028504871,392.965757858031,652.486200043042
"weather","5264","Spring","Realized","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\weather\Objects\weather_5264_Spring_Realized_boot",919.788452532201,437.553460636693,1389.60785280118
"weather","5264","Summer","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\weather\Objects\weather_5264_Summer_Potential_boot",30.5287732568076,26.619129108885,34.9776375913379
"weather","5264","Summer","Realized","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\weather\Objects\weather_5264_Summer_Realized_boot",90.121461313114,62.3815758200929,124.957980519385
"weather","5264","Autumn","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\weather\Objects\weather_5264_Autumn_Potential_boot",38.6666938164622,30.5092778773205,46.3235487431413
"weather","5264","Autumn","Realized",NA,NA,NA,NA
"weather","5264","Winter","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\weather\Objects\weather_5264_Winter_Potential_boot",0.000326322583578751,0.000228259454437198,0.000420879110432041
"weather","5264","Winter","Realized",NA,NA,NA,NA
"weather","5268","Spring","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\weather\Objects\weather_5268_Spring_Potential_boot",39.3069807760813,30.3356642088361,52.3101710907966
"weather","5268","Spring","Realized","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\weather\Objects\weather_5268_Spring_Realized_boot",73.5034529141576,45.9796733698624,102.23744449897
"weather","5268","Summer","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\weather\Objects\weather_5268_Summer_Potential_boot",4.43601940155435,2.45346408516572,6.10204972675165
"weather","5268","Summer","Realized","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\weather\Objects\weather_5268_Summer_Realized_boot",150.195217506805,50.2837933706114,269.423007452159
"weather","5268","Autumn","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\weather\Objects\weather_5268_Autumn_Potential_boot",380.170669512534,256.834911572972,537.264097787734
"weather","5268","Autumn","Realized","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\weather\Objects\weather_5268_Autumn_Realized_boot",620.459498959033,253.299280331929,1097.58542419468
"weather","5268","Winter","Potential",NA,NA,NA,NA
"weather","5268","Winter","Realized",NA,NA,NA,NA
"weather","5270","Spring","Potential",NA,NA,NA,NA
"weather","5270","Spring","Realized",NA,NA,NA,NA
"weather","5270","Summer","Potential",NA,NA,NA,NA
"weather","5270","Summer","Realized",NA,NA,NA,NA
"weather","5270","Autumn","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\weather\Objects\weather_5270_Autumn_Potential_boot",151.07300210474,90.2617672586889,206.470316612277
"weather","5270","Autumn","Realized","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\weather\Objects\weather_5270_Autumn_Realized_boot",246.06697751337,94.8578090144121,444.518935711752
"weather","5270","Winter","Potential",NA,NA,NA,NA
"weather","5270","Winter","Realized",NA,NA,NA,NA
"weather","5277","Spring","Potential",NA,NA,NA,NA
"weather","5277","Spring","Realized",NA,NA,NA,NA
"weather","5277","Summer","Potential",NA,NA,NA,NA
"weather","5277","Summer","Realized",NA,NA,NA,NA
"weather","5277","Autumn","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\weather\Objects\weather_5277_Autumn_Potential_boot",6.05866746103717,4.37389817268889,7.43711112738627
"weather","5277","Autumn","Realized","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\weather\Objects\weather_5277_Autumn_Realized_boot",24.5623358460073,12.1329157857559,35.8108277289503
"weather","5277","Winter","Potential",NA,NA,NA,NA
"weather","5277","Winter","Realized",NA,NA,NA,NA
