"group","id","season","niche_type","n_points","n_axes","rsp_column","weighted","volume_observed","boot_path","volume_boot_mean","volume_lwr","volume_upr"
"humans","5181","Spring","Potential",181,6,"rsp_humans",TRUE,0.13468640069357,NA,NA,NA,NA
"humans","5181","Spring","Realized",46,6,"rsp_humans",TRUE,0.0990023514832847,NA,NA,NA,NA
"humans","5181","Summer","Potential",0,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5181","Summer","Realized",1,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5181","Autumn","Potential",7,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5181","Autumn","Realized",1,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5181","Winter","Potential",0,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5181","Winter","Realized",1,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5264","Spring","Potential",452,6,"rsp_humans",TRUE,0.0837790358281666,NA,NA,NA,NA
"humans","5264","Spring","Realized",83,6,"rsp_humans",TRUE,0.0765083116022742,NA,NA,NA,NA
"humans","5264","Summer","Potential",835,6,"rsp_humans",TRUE,0.364820259866987,NA,NA,NA,NA
"humans","5264","Summer","Realized",169,6,"rsp_humans",TRUE,0.198954877290972,NA,NA,NA,NA
"humans","5264","Autumn","Potential",121,6,"rsp_humans",TRUE,0.123658752230171,NA,NA,NA,NA
"humans","5264","Autumn","Realized",24,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5264","Winter","Potential",68,6,"rsp_humans",TRUE,0.0762591845263653,NA,NA,NA,NA
"humans","5264","Winter","Realized",13,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5268","Spring","Potential",113,6,"rsp_humans",TRUE,0.120619377900738,NA,NA,NA,NA
"humans","5268","Spring","Realized",29,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5268","Summer","Potential",25,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5268","Summer","Realized",35,6,"rsp_humans",TRUE,0.0840946526510541,NA,NA,NA,NA
"humans","5268","Autumn","Potential",210,6,"rsp_humans",TRUE,0.159720006907748,NA,NA,NA,NA
"humans","5268","Autumn","Realized",55,6,"rsp_humans",TRUE,0.148715343898457,NA,NA,NA,NA
"humans","5268","Winter","Potential",0,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5268","Winter","Realized",0,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5270","Spring","Potential",0,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5270","Spring","Realized",3,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5270","Summer","Potential",24,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5270","Summer","Realized",14,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5270","Autumn","Potential",158,6,"rsp_humans",TRUE,0.0874396167809374,NA,NA,NA,NA
"humans","5270","Autumn","Realized",34,6,"rsp_humans",TRUE,0.0418581154125451,NA,NA,NA,NA
"humans","5270","Winter","Potential",0,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5270","Winter","Realized",0,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5277","Spring","Potential",13,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5277","Spring","Realized",7,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5277","Summer","Potential",2,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5277","Summer","Realized",11,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5277","Autumn","Potential",93,6,"rsp_humans",TRUE,0.124618524588381,NA,NA,NA,NA
"humans","5277","Autumn","Realized",26,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5277","Winter","Potential",0,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5277","Winter","Realized",0,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5278","Spring","Potential",142,6,"rsp_humans",TRUE,0.0962207374872947,NA,NA,NA,NA
"humans","5278","Spring","Realized",34,6,"rsp_humans",TRUE,0.0258407110764589,NA,NA,NA,NA
"humans","5278","Summer","Potential",164,6,"rsp_humans",TRUE,0.117349262659036,NA,NA,NA,NA
"humans","5278","Summer","Realized",35,6,"rsp_humans",TRUE,0.100152570496561,NA,NA,NA,NA
"humans","5278","Autumn","Potential",113,6,"rsp_humans",TRUE,0.111806628367357,NA,NA,NA,NA
"humans","5278","Autumn","Realized",31,6,"rsp_humans",TRUE,0.113477499531256,NA,NA,NA,NA
"humans","5278","Winter","Potential",0,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5278","Winter","Realized",0,6,"rsp_humans",TRUE,NA,NA,NA,NA,NA
"humans","5282","Spring","Potential",33,6,"rsp_humans",TRUE,0.106512991535132,NA,NA,NA,NA
