"id","niche_type","season_1","season_2","group","season_pair","jaccard","sorensen","frac_unique_1","frac_unique_2"
"5181","Potential","Autumn","Winter","food","Autumn vs Winter",NA,NA,NA,NA
"5181","Potential","Spring","Autumn","food","Spring vs Autumn",NA,NA,NA,NA
"5181","Potential","Spring","Summer","food","Spring vs Summer",NA,NA,NA,NA
"5181","Potential","Spring","Winter","food","Spring vs Winter",NA,NA,NA,NA
"5181","Potential","Summer","Autumn","food","Summer vs Autumn",NA,NA,NA,NA
"5181","Potential","Summer","Winter","food","Summer vs Winter",NA,NA,NA,NA
"5181","Realized","Autumn","Winter","food","Autumn vs Winter",NA,NA,NA,NA
"5181","Realized","Spring","Autumn","food","Spring vs Autumn",NA,NA,NA,NA
"5181","Realized","Spring","Summer","food","Spring vs Summer",NA,NA,NA,NA
"5181","Realized","Spring","Winter","food","Spring vs Winter",NA,NA,NA,NA
"5181","Realized","Summer","Autumn","food","Summer vs Autumn",NA,NA,NA,NA
"5181","Realized","Summer","Winter","food","Summer vs Winter",NA,NA,NA,NA
"5264","Potential","Autumn","Winter","food","Autumn vs Winter",0.231017656207736,0.375327933019917,0.719909018348217,0.431302801244998
"5264","Potential","Spring","Autumn","food","Spring vs Autumn",0.267977516828395,0.422684966053168,0.373342175066313,0.681111176578814
"5264","Potential","Spring","Summer","food","Spring vs Summer",0.255446958985096,0.406941857888762,0.359026953961432,0.7019
"5264","Potential","Spring","Winter","food","Spring vs Winter",0.756231218344347,0.861197785855634,0.152644863966452,0.124499777678968
"5264","Potential","Summer","Autumn","food","Summer vs Autumn",0.19665008422253,0.32866764782003,0.685476410730805,0.655856282810614
"5264","Potential","Summer","Winter","food","Summer vs Winter",0.269947375985061,0.425131593780681,0.691753402722178,0.315195072326459
"5264","Realized","Autumn","Winter","food","Autumn vs Winter",NA,NA,NA,NA
"5264","Realized","Spring","Autumn","food","Spring vs Autumn",0.140918418661973,0.247026284012905,0.571848284722296,0.826409495548961
"5264","Realized","Spring","Summer","food","Spring vs Summer",0.200177120909283,0.333579298291612,0.143780290791599,0.792859938718617
"5264","Realized","Spring","Winter","food","Spring vs Winter",NA,NA,NA,NA
"5264","Realized","Summer","Autumn","food","Summer vs Autumn",0.121226440720039,0.216238997436038,0.827366403765791,0.710682492581602
"5264","Realized","Summer","Winter","food","Summer vs Winter",NA,NA,NA,NA
"5268","Potential","Autumn","Winter","food","Autumn vs Winter",NA,NA,NA,NA
"5268","Potential","Spring","Autumn","food","Spring vs Autumn",0.711550026029989,0.831468569668932,0.0804313637384856,0.241226390638948
"5268","Potential","Spring","Summer","food","Spring vs Summer",0.46933818319539,0.638842968301162,0.416159078880999,0.294713975380159
"5268","Potential","Spring","Winter","food","Spring vs Winter",NA,NA,NA,NA
"5268","Potential","Summer","Autumn","food","Summer vs Autumn",0.390360046859835,0.561523682648208,0.308201305538589,0.527461652647204
"5268","Potential","Summer","Winter","food","Summer vs Winter",NA,NA,NA,NA
"5268","Realized","Autumn","Winter","food","Autumn vs Winter",NA,NA,NA,NA
"5268","Realized","Spring","Autumn","food","Spring vs Autumn",0.165413736942301,0.283871266828032,0.0443159922928709,0.833307667010223
"5268","Realized","Spring","Summer","food","Spring vs Summer",0.404689632918286,0.576197935023598,0.023961661341853,0.591249389970554
"5268","Realized","Spring","Winter","food","Spring vs Winter",NA,NA,NA,NA
"5268","Realized","Summer","Autumn","food","Summer vs Autumn",0.308792667404397,0.471874079210415,0.19758064516129,0.665796368198134
"5268","Realized","Summer","Winter","food","Summer vs Winter",NA,NA,NA,NA
"5270","Potential","Autumn","Winter","food","Autumn vs Winter",NA,NA,NA,NA
"5270","Potential","Spring","Autumn","food","Spring vs Autumn",NA,NA,NA,NA
"5270","Potential","Spring","Summer","food","Spring vs Summer",NA,NA,NA,NA
"5270","Potential","Spring","Winter","food","Spring vs Winter",NA,NA,NA,NA
"5270","Potential","Summer","Autumn","food","Summer vs Autumn",0.344849785529572,0.512845061567643,0.439563724882682,0.527296082209377
