"id","niche_type","season_1","season_2","group","season_pair","jaccard","sorensen","frac_unique_1","frac_unique_2"
"5181","Potential","Autumn","Winter","veg","Autumn vs Winter",NA,NA,NA,NA
"5181","Potential","Spring","Autumn","veg","Spring vs Autumn",NA,NA,NA,NA
"5181","Potential","Spring","Summer","veg","Spring vs Summer",NA,NA,NA,NA
"5181","Potential","Spring","Winter","veg","Spring vs Winter",NA,NA,NA,NA
"5181","Potential","Summer","Autumn","veg","Summer vs Autumn",NA,NA,NA,NA
"5181","Potential","Summer","Winter","veg","Summer vs Winter",NA,NA,NA,NA
"5181","Realized","Autumn","Winter","veg","Autumn vs Winter",NA,NA,NA,NA
"5181","Realized","Spring","Autumn","veg","Spring vs Autumn",NA,NA,NA,NA
"5181","Realized","Spring","Summer","veg","Spring vs Summer",NA,NA,NA,NA
"5181","Realized","Spring","Winter","veg","Spring vs Winter",NA,NA,NA,NA
"5181","Realized","Summer","Autumn","veg","Summer vs Autumn",NA,NA,NA,NA
"5181","Realized","Summer","Winter","veg","Summer vs Winter",NA,NA,NA,NA
"5264","Potential","Autumn","Winter","veg","Autumn vs Winter",0.04496207060774,0.0860549332313861,0.928658212610819,0.8915864378401
"5264","Potential","Spring","Autumn","veg","Spring vs Autumn",0.0485822826045099,0.0926627951100591,0.909416683257018,0.905160008042886
"5264","Potential","Spring","Summer","veg","Spring vs Summer",0.0452284847502284,0.0865427710976254,0.873983256296227,0.9341
"5264","Potential","Spring","Winter","veg","Spring vs Winter",0.0566745314936978,0.107269608199194,0.912654805641139,0.861029719547928
"5264","Potential","Summer","Autumn","veg","Summer vs Autumn",0.0493950065089107,0.0941399686534362,0.92941972897834,0.858691121300542
"5264","Potential","Summer","Winter","veg","Summer vs Winter",0.0310683287982784,0.0602643451079307,0.959963962971224,0.878191712013395
"5264","Realized","Autumn","Winter","veg","Autumn vs Winter",NA,NA,NA,NA
"5264","Realized","Spring","Autumn","veg","Spring vs Autumn",NA,NA,NA,NA
"5264","Realized","Spring","Summer","veg","Spring vs Summer",0.0421746258823426,0.0809358140851607,0.853882631890931,0.944031289793111
"5264","Realized","Spring","Winter","veg","Spring vs Winter",NA,NA,NA,NA
"5264","Realized","Summer","Autumn","veg","Summer vs Autumn",NA,NA,NA,NA
"5264","Realized","Summer","Winter","veg","Summer vs Winter",NA,NA,NA,NA
"5268","Potential","Autumn","Winter","veg","Autumn vs Winter",NA,NA,NA,NA
"5268","Potential","Spring","Autumn","veg","Spring vs Autumn",0.0385518543464784,0.074241558926757,0.855949294151541,0.94999272267253
"5268","Potential","Spring","Summer","veg","Spring vs Summer",NA,NA,NA,NA
"5268","Potential","Spring","Winter","veg","Spring vs Winter",NA,NA,NA,NA
"5268","Potential","Summer","Autumn","veg","Summer vs Autumn",NA,NA,NA,NA
"5268","Potential","Summer","Winter","veg","Summer vs Winter",NA,NA,NA,NA
"5268","Realized","Autumn","Winter","veg","Autumn vs Winter",NA,NA,NA,NA
"5268","Realized","Spring","Autumn","veg","Spring vs Autumn",NA,NA,NA,NA
"5268","Realized","Spring","Summer","veg","Spring vs Summer",NA,NA,NA,NA
"5268","Realized","Spring","Winter","veg","Spring vs Winter",NA,NA,NA,NA
"5268","Realized","Summer","Autumn","veg","Summer vs Autumn",NA,NA,NA,NA
"5268","Realized","Summer","Winter","veg","Summer vs Winter",NA,NA,NA,NA
"5270","Potential","Autumn","Winter","veg","Autumn vs Winter",NA,NA,NA,NA
"5270","Potential","Spring","Autumn","veg","Spring vs Autumn",NA,NA,NA,NA
"5270","Potential","Spring","Summer","veg","Spring vs Summer",NA,NA,NA,NA
"5270","Potential","Spring","Winter","veg","Spring vs Winter",NA,NA,NA,NA
"5270","Potential","Summer","Autumn","veg","Summer vs Autumn",NA,NA,NA,NA
"5270","Potential","Summer","Winter","veg","Summer vs Winter",NA,NA,NA,NA
"5270","Realized","Autumn","Winter","veg","Autumn vs Winter",NA,NA,NA,NA
"5270","Realized","Spring","Autumn","veg","Spring vs Autumn",NA,NA,NA,NA
"5270","Realized","Spring","Summer","veg","Spring vs Summer",NA,NA,NA,NA
"5270","Realized","Spring","Winter","veg","Spring vs Winter",NA,NA,NA,NA
"5270","Realized","Summer","Autumn","veg","Summer vs Autumn",NA,NA,NA,NA
"5270","Realized","Summer","Winter","veg","Summer vs Winter",NA,NA,NA,NA
"5277","Potential","Autumn","Winter","veg","Autumn vs Winter",NA,NA,NA,NA
"5277","Potential","Spring","Autumn","veg","Spring vs Autumn",NA,NA,NA,NA
"5277","Potential","Spring","Summer","veg","Spring vs Summer",NA,NA,NA,NA
"5277","Potential","Spring","Winter","veg","Spring vs Winter",NA,NA,NA,NA
