"id","niche_type","season_1","season_2","group","season_pair","jaccard","sorensen","frac_unique_1","frac_unique_2"
"5181","Potential","Autumn","Winter","weather","Autumn vs Winter",NA,NA,NA,NA
"5181","Potential","Spring","Autumn","weather","Spring vs Autumn",NA,NA,NA,NA
"5181","Potential","Spring","Summer","weather","Spring vs Summer",NA,NA,NA,NA
"5181","Potential","Spring","Winter","weather","Spring vs Winter",NA,NA,NA,NA
"5181","Potential","Summer","Autumn","weather","Summer vs Autumn",NA,NA,NA,NA
"5181","Potential","Summer","Winter","weather","Summer vs Winter",NA,NA,NA,NA
"5181","Realized","Autumn","Winter","weather","Autumn vs Winter",NA,NA,NA,NA
"5181","Realized","Spring","Autumn","weather","Spring vs Autumn",NA,NA,NA,NA
"5181","Realized","Spring","Summer","weather","Spring vs Summer",NA,NA,NA,NA
"5181","Realized","Spring","Winter","weather","Spring vs Winter",NA,NA,NA,NA
"5181","Realized","Summer","Autumn","weather","Summer vs Autumn",NA,NA,NA,NA
"5181","Realized","Summer","Winter","weather","Summer vs Winter",NA,NA,NA,NA
"5264","Potential","Autumn","Winter","weather","Autumn vs Winter",0.00537185470437787,0.0106863041356124,0.992758097897201,0.979621022524133
"5264","Potential","Spring","Autumn","weather","Spring vs Autumn",0.0726823058228604,0.135515064298754,0.905683701451577,0.759377392191886
"5264","Potential","Spring","Summer","weather","Spring vs Summer",0.0259911348670235,0.0506654180211647,0.943316831683168,0.954197219417391
"5264","Potential","Spring","Winter","weather","Spring vs Winter",0.0468942925811249,0.0895874452911701,0.94896695051516,0.633620689655172
"5264","Potential","Summer","Autumn","weather","Summer vs Autumn",0.120414470057575,0.214946295813883,0.858486972480448,0.553204925797284
"5264","Potential","Summer","Winter","weather","Summer vs Winter",0.000990164714018553,0.00197837051536154,0.998899478658438,0.990222222222222
"5264","Realized","Autumn","Winter","weather","Autumn vs Winter",NA,NA,NA,NA
"5264","Realized","Spring","Autumn","weather","Spring vs Autumn",NA,NA,NA,NA
"5264","Realized","Spring","Summer","weather","Spring vs Summer",0.0269976473864942,0.0525758699743818,0.942055692055692,0.951882162805538
"5264","Realized","Spring","Winter","weather","Spring vs Winter",NA,NA,NA,NA
"5264","Realized","Summer","Autumn","weather","Summer vs Autumn",NA,NA,NA,NA
"5264","Realized","Summer","Winter","weather","Summer vs Winter",NA,NA,NA,NA
"5268","Potential","Autumn","Winter","weather","Autumn vs Winter",NA,NA,NA,NA
"5268","Potential","Spring","Autumn","weather","Spring vs Autumn",0.0757636015380413,0.140855484289895,0.806713960421126,0.8892
"5268","Potential","Spring","Summer","weather","Spring vs Summer",0.0107927889955622,0.0213550969359153,0.984241452991453,0.966883940602582
"5268","Potential","Spring","Winter","weather","Spring vs Winter",NA,NA,NA,NA
