"group","id","niche_type","volume_boot_mean","volume_lwr","volume_upr"
"humans","5181","Potential",NA,NA,NA
"humans","5181","Realized",NA,NA,NA
"humans","5264","Potential",NA,NA,NA
"humans","5264","Realized",NA,NA,NA
"humans","5268","Potential",NA,NA,NA
"humans","5268","Realized",NA,NA,NA
"humans","5270","Potential",NA,NA,NA
"humans","5270","Realized",NA,NA,NA
"humans","5277","Potential",NA,NA,NA
"humans","5277","Realized",NA,NA,NA
"humans","5278","Potential",NA,NA,NA
"humans","5278","Realized",NA,NA,NA
"humans","5282","Potential",NA,NA,NA
"humans","5282","Realized",NA,NA,NA
"humans","5284","Potential",NA,NA,NA
"humans","5284","Realized",NA,NA,NA
"humans","5285","Potential",NA,NA,NA
"humans","5285","Realized",NA,NA,NA
"humans","5301","Potential",NA,NA,NA
"humans","5301","Realized",NA,NA,NA
"humans","5303","Potential",NA,NA,NA
"humans","5303","Realized",NA,NA,NA
"humans","5308","Potential",NA,NA,NA
"humans","5308","Realized",NA,NA,NA
"humans","5439","Potential",NA,NA,NA
"humans","5439","Realized",NA,NA,NA
