"group","id","niche_type","volume_boot_mean","volume_lwr","volume_upr"
"veg","5181","Potential",NA,NA,NA
"veg","5181","Realized",NA,NA,NA
"veg","5264","Potential",NA,NA,NA
"veg","5264","Realized",NA,NA,NA
"veg","5268","Potential",NA,NA,NA
"veg","5268","Realized",NA,NA,NA
"veg","5270","Potential",NA,NA,NA
"veg","5270","Realized",NA,NA,NA
"veg","5277","Potential",NA,NA,NA
"veg","5277","Realized",NA,NA,NA
"veg","5278","Potential",NA,NA,NA
"veg","5278","Realized",NA,NA,NA
"veg","5282","Potential",NA,NA,NA
"veg","5282","Realized",NA,NA,NA
"veg","5284","Potential",NA,NA,NA
"veg","5284","Realized",NA,NA,NA
"veg","5285","Potential",NA,NA,NA
"veg","5285","Realized",NA,NA,NA
"veg","5301","Potential",NA,NA,NA
"veg","5301","Realized",NA,NA,NA
"veg","5303","Potential",NA,NA,NA
"veg","5303","Realized",NA,NA,NA
"veg","5308","Potential",NA,NA,NA
"veg","5308","Realized",NA,NA,NA
"veg","5439","Potential",NA,NA,NA
"veg","5439","Realized",NA,NA,NA
