"group","id","niche_type","n_points","n_axes","rsp_column","weighted","volume_observed"
"food","5181","Potential",188,3,"rsp_food",TRUE,3.97262663529701
"food","5181","Realized",49,3,"rsp_food",TRUE,6.2221777983287
"food","5264","Potential",1475,3,"rsp_food",TRUE,12.4756322685663
"food","5264","Realized",289,3,"rsp_food",TRUE,10.9007318378059
"food","5268","Potential",348,3,"rsp_food",TRUE,6.11653068464706
"food","5268","Realized",119,3,"rsp_food",TRUE,7.63812541067918
"food","5270","Potential",182,3,"rsp_food",TRUE,6.07615941510915
"food","5270","Realized",51,3,"rsp_food",TRUE,5.59679523515641
"food","5277","Potential",108,3,"rsp_food",TRUE,8.43221595891574
"food","5277","Realized",44,3,"rsp_food",TRUE,5.48328511481312
"food","5278","Potential",419,3,"rsp_food",TRUE,5.33393740486811
"food","5278","Realized",100,3,"rsp_food",TRUE,5.52910197670297
"food","5282","Potential",145,3,"rsp_food",TRUE,3.24188186311183
"food","5282","Realized",38,3,"rsp_food",TRUE,1.8356204280336
"food","5284","Potential",34,3,"rsp_food",TRUE,3.69367772383351
"food","5284","Realized",18,3,"rsp_food",TRUE,NA
"food","5285","Potential",938,3,"rsp_food",TRUE,4.80555492719974
"food","5285","Realized",183,3,"rsp_food",TRUE,2.80475331768008
"food","5301","Potential",5822,3,"rsp_food",TRUE,11.0314317687177
"food","5301","Realized",1119,3,"rsp_food",TRUE,9.01375707935718
"food","5303","Potential",1535,3,"rsp_food",TRUE,15.2723790569933
"food","5303","Realized",365,3,"rsp_food",TRUE,11.7404681180297
"food","5308","Potential",157,3,"rsp_food",TRUE,3.58635681883712
"food","5308","Realized",29,3,"rsp_food",TRUE,2.11270938679843
"food","5439","Potential",747,3,"rsp_food",TRUE,4.28244089763931
"food","5439","Realized",198,3,"rsp_food",TRUE,5.22679917673417
