"group","id","niche_type","n_points","n_axes","rsp_column","weighted","volume_observed"
"weather","5181","Potential",188,5,"rsp_weather",TRUE,53.5072033578396
"weather","5181","Realized",49,5,"rsp_weather",TRUE,69.681477685367
"weather","5264","Potential",1476,5,"rsp_weather",TRUE,218.844277581295
"weather","5264","Realized",289,5,"rsp_weather",TRUE,211.208007013097
"weather","5268","Potential",348,5,"rsp_weather",TRUE,133.730822224839
"weather","5268","Realized",119,5,"rsp_weather",TRUE,155.847477498202
"weather","5270","Potential",182,5,"rsp_weather",TRUE,54.9000823035794
"weather","5270","Realized",51,5,"rsp_weather",TRUE,72.8739906319617
"weather","5277","Potential",108,5,"rsp_weather",TRUE,45.1449616002664
"weather","5277","Realized",44,5,"rsp_weather",TRUE,67.1276064946309
"weather","5278","Potential",419,5,"rsp_weather",TRUE,125.431712300177
"weather","5278","Realized",100,5,"rsp_weather",TRUE,119.799972848599
"weather","5282","Potential",145,5,"rsp_weather",TRUE,47.6147762618781
"weather","5282","Realized",38,5,"rsp_weather",TRUE,61.5470730535132
"weather","5284","Potential",34,5,"rsp_weather",TRUE,23.6814410640802
"weather","5284","Realized",18,5,"rsp_weather",TRUE,NA
"weather","5285","Potential",938,5,"rsp_weather",TRUE,135.528592992081
"weather","5285","Realized",183,5,"rsp_weather",TRUE,128.397515344321
"weather","5301","Potential",5822,5,"rsp_weather",TRUE,377.407829541703
"weather","5301","Realized",1119,5,"rsp_weather",TRUE,355.740275657193
"weather","5303","Potential",1535,5,"rsp_weather",TRUE,211.494258324017
"weather","5303","Realized",365,5,"rsp_weather",TRUE,294.481129963361
"weather","5308","Potential",157,5,"rsp_weather",TRUE,26.2723880902409
"weather","5308","Realized",29,5,"rsp_weather",TRUE,24.9800105920737
"weather","5439","Potential",747,5,"rsp_weather",TRUE,185.855411762566
"weather","5439","Realized",198,5,"rsp_weather",TRUE,192.618135840496
