"group","id","niche_type","n_points","n_axes","rsp_column","weighted","volume_observed","volume_boot_mean","volume_lwr","volume_upr"
"veg","5181","Potential",188,13,"rsp_veg",TRUE,1.55685979036414e-07,NA,NA,NA
"veg","5181","Realized",49,13,"rsp_veg",TRUE,NA,NA,NA,NA
"veg","5264","Potential",1476,13,"rsp_veg",TRUE,2.43999807501958e-07,NA,NA,NA
"veg","5264","Realized",289,13,"rsp_veg",TRUE,2.12538093787092e-07,NA,NA,NA
"veg","5268","Potential",348,13,"rsp_veg",TRUE,3.69213969207701e-07,NA,NA,NA
"veg","5268","Realized",119,13,"rsp_veg",TRUE,2.79358622277489e-07,NA,NA,NA
"veg","5270","Potential",182,13,"rsp_veg",TRUE,3.8863518906866e-07,NA,NA,NA
"veg","5270","Realized",51,13,"rsp_veg",TRUE,NA,NA,NA,NA
"veg","5277","Potential",108,13,"rsp_veg",TRUE,1.65949294584856e-07,NA,NA,NA
"veg","5277","Realized",44,13,"rsp_veg",TRUE,NA,NA,NA,NA
"veg","5278","Potential",419,13,"rsp_veg",TRUE,1.46988122766646e-07,NA,NA,NA
"veg","5278","Realized",100,13,"rsp_veg",TRUE,1.06639734908234e-07,NA,NA,NA
"veg","5282","Potential",145,13,"rsp_veg",TRUE,1.64659749540601e-07,NA,NA,NA
"veg","5282","Realized",38,13,"rsp_veg",TRUE,NA,NA,NA,NA
"veg","5284","Potential",34,13,"rsp_veg",TRUE,NA,NA,NA,NA
"veg","5284","Realized",18,13,"rsp_veg",TRUE,NA,NA,NA,NA
"veg","5285","Potential",938,13,"rsp_veg",TRUE,2.49739960982239e-07,NA,NA,NA
"veg","5285","Realized",183,13,"rsp_veg",TRUE,1.75164065855318e-07,NA,NA,NA
"veg","5301","Potential",5822,13,"rsp_veg",TRUE,4.69449672797797e-07,NA,NA,NA
"veg","5301","Realized",1119,13,"rsp_veg",TRUE,3.65042184274933e-07,NA,NA,NA
"veg","5303","Potential",1535,13,"rsp_veg",TRUE,4.22721349511711e-07,NA,NA,NA
"veg","5303","Realized",365,13,"rsp_veg",TRUE,4.03929178644005e-07,NA,NA,NA
"veg","5308","Potential",157,13,"rsp_veg",TRUE,1.23870893601926e-07,NA,NA,NA
"veg","5308","Realized",29,13,"rsp_veg",TRUE,NA,NA,NA,NA
"veg","5439","Potential",747,13,"rsp_veg",TRUE,1.38717339763439e-07,NA,NA,NA
"veg","5439","Realized",198,13,"rsp_veg",TRUE,2.32556399323843e-07,NA,NA,NA
