"group","id","season","niche_type","boot_path","volume_boot_mean","volume_lwr","volume_upr"
"soil","5181","Spring","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5181_Spring_Potential_boot",18.2949293254997,11.4949124502927,27.8492376424984
"soil","5181","Spring","Realized","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5181_Spring_Realized_boot",38512.5392213781,11175.113470613,90938.3992522937
"soil","5181","Summer","Potential",NA,NA,NA,NA
"soil","5181","Summer","Realized",NA,NA,NA,NA
"soil","5181","Autumn","Potential",NA,NA,NA,NA
"soil","5181","Autumn","Realized",NA,NA,NA,NA
"soil","5181","Winter","Potential",NA,NA,NA,NA
"soil","5181","Winter","Realized",NA,NA,NA,NA
"soil","5264","Spring","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5264_Spring_Potential_boot",59.9085707949148,39.7836998306356,83.9689592087288
"soil","5264","Spring","Realized","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5264_Spring_Realized_boot",1305.84418731999,97.9630597892553,4014.0553183394
"soil","5264","Summer","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5264_Summer_Potential_boot",141.395899862607,107.531809099217,193.497603837296
"soil","5264","Summer","Realized","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5264_Summer_Realized_boot",724.035070923629,489.058240348766,1280.78990483309
"soil","5264","Autumn","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5264_Autumn_Potential_boot",65.9743338475801,35.9415530964719,100.788499139618
"soil","5264","Autumn","Realized",NA,NA,NA,NA
"soil","5264","Winter","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5264_Winter_Potential_boot",61.9586396090588,32.49487270372,108.815604621133
"soil","5264","Winter","Realized",NA,NA,NA,NA
"soil","5268","Spring","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5268_Spring_Potential_boot",41.8933423525347,17.8132900743914,68.6533351115853
"soil","5268","Spring","Realized",NA,NA,NA,NA
"soil","5268","Summer","Potential",NA,NA,NA,NA
"soil","5268","Summer","Realized","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5268_Summer_Realized_boot",912.985810535533,71.0690371461115,2807.81907542903
"soil","5268","Autumn","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5268_Autumn_Potential_boot",103.506587685494,75.1366040774591,129.034323185313
"soil","5268","Autumn","Realized","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5268_Autumn_Realized_boot",10192.9648156336,3874.89697033699,15726.5906756614
"soil","5268","Winter","Potential",NA,NA,NA,NA
"soil","5268","Winter","Realized",NA,NA,NA,NA
"soil","5270","Spring","Potential",NA,NA,NA,NA
"soil","5270","Spring","Realized",NA,NA,NA,NA
"soil","5270","Summer","Potential",NA,NA,NA,NA
"soil","5270","Summer","Realized",NA,NA,NA,NA
"soil","5270","Autumn","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5270_Autumn_Potential_boot",5.98908803809988,1.85820032253275,11.8406775162265
"soil","5270","Autumn","Realized",NA,NA,NA,NA
"soil","5270","Winter","Potential",NA,NA,NA,NA
"soil","5270","Winter","Realized",NA,NA,NA,NA
"soil","5277","Spring","Potential",NA,NA,NA,NA
"soil","5277","Spring","Realized",NA,NA,NA,NA
"soil","5277","Summer","Potential",NA,NA,NA,NA
"soil","5277","Summer","Realized",NA,NA,NA,NA
"soil","5277","Autumn","Potential","C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5277_Autumn_Potential_boot",171.188467372407,79.1717488073616,361.119388905984
"soil","5277","Autumn","Realized",NA,NA,NA,NA
"soil","5277","Winter","Potential",NA,NA,NA,NA
"soil","5277","Winter","Realized",NA,NA,NA,NA
