"id","season","niche_type","n_points"
"5181","Spring","Potential",181
"5181","Spring","Realized",46
"5181","Summer","Potential",0
"5181","Summer","Realized",1
"5181","Autumn","Potential",7
"5181","Autumn","Realized",1
"5181","Winter","Potential",0
"5181","Winter","Realized",1
"5264","Spring","Potential",452
"5264","Spring","Realized",83
"5264","Summer","Potential",834
"5264","Summer","Realized",169
"5264","Autumn","Potential",121
"5264","Autumn","Realized",24
"5264","Winter","Potential",68
"5264","Winter","Realized",13
"5268","Spring","Potential",113
"5268","Spring","Realized",29
"5268","Summer","Potential",25
"5268","Summer","Realized",35
"5268","Autumn","Potential",210
"5268","Autumn","Realized",55
"5268","Winter","Potential",0
"5268","Winter","Realized",0
"5270","Spring","Potential",0
"5270","Spring","Realized",3
"5270","Summer","Potential",24
"5270","Summer","Realized",14
"5270","Autumn","Potential",158
"5270","Autumn","Realized",34
"5270","Winter","Potential",0
"5270","Winter","Realized",0
"5277","Spring","Potential",13
"5277","Spring","Realized",7
"5277","Summer","Potential",2
"5277","Summer","Realized",11
"5277","Autumn","Potential",93
"5277","Autumn","Realized",26
"5277","Winter","Potential",0
"5277","Winter","Realized",0
"5278","Spring","Potential",142
"5278","Spring","Realized",34
"5278","Summer","Potential",164
"5278","Summer","Realized",35
"5278","Autumn","Potential",113
"5278","Autumn","Realized",31
"5278","Winter","Potential",0
"5278","Winter","Realized",0
"5282","Spring","Potential",33
"5282","Spring","Realized",10
"5282","Summer","Potential",112
"5282","Summer","Realized",28
"5282","Autumn","Potential",0
"5282","Autumn","Realized",0
"5282","Winter","Potential",0
"5282","Winter","Realized",0
"5284","Spring","Potential",17
"5284","Spring","Realized",7
"5284","Summer","Potential",17
"5284","Summer","Realized",11
"5284","Autumn","Potential",0
"5284","Autumn","Realized",0
"5284","Winter","Potential",0
"5284","Winter","Realized",0
"5285","Spring","Potential",938
"5285","Spring","Realized",182
"5285","Summer","Potential",0
"5285","Summer","Realized",1
"5285","Autumn","Potential",0
"5285","Autumn","Realized",0
"5285","Winter","Potential",0
"5285","Winter","Realized",0
"5301","Spring","Potential",1078
"5301","Spring","Realized",224
"5301","Summer","Potential",2882
"5301","Summer","Realized",546
"5301","Autumn","Potential",1810
"5301","Autumn","Realized",341
"5301","Winter","Potential",52
"5301","Winter","Realized",8
"5303","Spring","Potential",1170
"5303","Spring","Realized",232
"5303","Summer","Potential",82
"5303","Summer","Realized",34
"5303","Autumn","Potential",34
"5303","Autumn","Realized",51
"5303","Winter","Potential",249
"5303","Winter","Realized",48
"5308","Spring","Potential",157
"5308","Spring","Realized",29
"5308","Summer","Potential",0
"5308","Summer","Realized",0
"5308","Autumn","Potential",0
"5308","Autumn","Realized",0
"5308","Winter","Potential",0
"5308","Winter","Realized",0
"5439","Spring","Potential",570
"5439","Spring","Realized",107
"5439","Summer","Potential",177
"5439","Summer","Realized",85
"5439","Autumn","Potential",0
"5439","Autumn","Realized",6
"5439","Winter","Potential",0
"5439","Winter","Realized",0
