"group","id","season","niche_type","n_points","n_axes","rsp_column","weighted","volume_observed","boot_path","volume_boot_mean","volume_lwr","volume_upr"
"food","5181","Spring","Potential",181,3,"rsp_food",TRUE,3.82170386223626,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5181_Spring_Potential_boot",2.18711586395126,1.37530853243084,3.17191493560358
"food","5181","Spring","Realized",46,3,"rsp_food",TRUE,6.29338375114152,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5181_Spring_Realized_boot",205.384434220855,116.571562283919,278.58765309168
"food","5181","Summer","Potential",0,3,"rsp_food",TRUE,NA,NA,NA,NA,NA
"food","5181","Summer","Realized",1,3,"rsp_food",TRUE,NA,NA,NA,NA,NA
"food","5181","Autumn","Potential",7,3,"rsp_food",TRUE,NA,NA,NA,NA,NA
"food","5181","Autumn","Realized",1,3,"rsp_food",TRUE,NA,NA,NA,NA,NA
"food","5181","Winter","Potential",0,3,"rsp_food",TRUE,NA,NA,NA,NA,NA
"food","5181","Winter","Realized",1,3,"rsp_food",TRUE,NA,NA,NA,NA,NA
"food","5264","Spring","Potential",452,3,"rsp_food",TRUE,4.35566492987254,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5264_Spring_Potential_boot",1.15653863822882,0.65742271898518,1.69397468604955
"food","5264","Spring","Realized",83,3,"rsp_food",TRUE,2.06288226088093,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5264_Spring_Realized_boot",12.8130698162574,1.97924626579829,34.6328926656355
"food","5264","Summer","Potential",834,3,"rsp_food",TRUE,9.36552773439707,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5264_Summer_Potential_boot",5.35295651476668,4.54381420633242,6.2999079700458
"food","5264","Summer","Realized",169,3,"rsp_food",TRUE,8.52698622669272,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5264_Summer_Realized_boot",11.5659882302878,8.35970749003316,15.5212286891717
"food","5264","Autumn","Potential",121,3,"rsp_food",TRUE,8.5594455202613,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5264_Autumn_Potential_boot",17.3235846021515,15.3331345122138,19.6678862945594
"food","5264","Autumn","Realized",24,3,"rsp_food",TRUE,5.08798900726297,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5264_Autumn_Realized_boot",29.173402728234,20.8881152159887,34.9693960792264
"food","5264","Winter","Potential",68,3,"rsp_food",TRUE,4.21564147566298,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\food\Objects\food_5264_Winter_Potential_boot",2.4072653180955,0.424340984194962,4.08208549325757
"food","5264","Winter","Realized",13,3,"rsp_food",TRUE,NA,NA,NA,NA,NA
