"group","id","season","niche_type","n_points","n_axes","rsp_column","weighted","volume_observed","boot_path","volume_boot_mean","volume_lwr","volume_upr"
"soil","5181","Spring","Potential",181,7,"rsp_soil",TRUE,252.129772442609,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5181_Spring_Potential_boot",18.2949293254997,11.4949124502927,27.8492376424984
"soil","5181","Spring","Realized",43,7,"rsp_soil",TRUE,102.903292064756,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5181_Spring_Realized_boot",38512.5392213781,11175.113470613,90938.3992522937
"soil","5181","Summer","Potential",0,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5181","Summer","Realized",1,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5181","Autumn","Potential",7,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5181","Autumn","Realized",1,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5181","Winter","Potential",0,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5181","Winter","Realized",1,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5264","Spring","Potential",452,7,"rsp_soil",TRUE,450.071575804927,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5264_Spring_Potential_boot",59.9085707949148,39.7836998306356,83.9689592087288
"soil","5264","Spring","Realized",83,7,"rsp_soil",TRUE,128.828177861692,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5264_Spring_Realized_boot",1305.84418731999,97.9630597892553,4014.0553183394
"soil","5264","Summer","Potential",834,7,"rsp_soil",TRUE,613.828160630114,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5264_Summer_Potential_boot",141.395899862607,107.531809099217,193.497603837296
"soil","5264","Summer","Realized",169,7,"rsp_soil",TRUE,231.493487545015,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5264_Summer_Realized_boot",724.035070923629,489.058240348766,1280.78990483309
"soil","5264","Autumn","Potential",121,7,"rsp_soil",TRUE,298.872947625061,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5264_Autumn_Potential_boot",65.9743338475801,35.9415530964719,100.788499139618
"soil","5264","Autumn","Realized",24,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5264","Winter","Potential",68,7,"rsp_soil",TRUE,225.250763149015,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5264_Winter_Potential_boot",61.9586396090588,32.49487270372,108.815604621133
"soil","5264","Winter","Realized",13,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5268","Spring","Potential",113,7,"rsp_soil",TRUE,205.611420613422,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5268_Spring_Potential_boot",41.8933423525347,17.8132900743914,68.6533351115853
"soil","5268","Spring","Realized",29,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5268","Summer","Potential",25,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5268","Summer","Realized",35,7,"rsp_soil",TRUE,172.582914906529,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5268_Summer_Realized_boot",912.985810535533,71.0690371461115,2807.81907542903
"soil","5268","Autumn","Potential",210,7,"rsp_soil",TRUE,374.512909706224,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5268_Autumn_Potential_boot",103.506587685494,75.1366040774591,129.034323185313
"soil","5268","Autumn","Realized",55,7,"rsp_soil",TRUE,165.961859885883,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5268_Autumn_Realized_boot",10192.9648156336,3874.89697033699,15726.5906756614
"soil","5268","Winter","Potential",0,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5268","Winter","Realized",0,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5270","Spring","Potential",0,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5270","Spring","Realized",3,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5270","Summer","Potential",24,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5270","Summer","Realized",14,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5270","Autumn","Potential",158,7,"rsp_soil",TRUE,113.332766930673,"C:\Users\takola\Documents\results_20260523\objects_RSF_workflow\bootstrap\seasonal\soil\Objects\soil_5270_Autumn_Potential_boot",5.98908803809988,1.85820032253275,11.8406775162265
"soil","5270","Autumn","Realized",34,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5270","Winter","Potential",0,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5270","Winter","Realized",0,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5277","Spring","Potential",13,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5277","Spring","Realized",7,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5277","Summer","Potential",2,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
"soil","5277","Summer","Realized",11,7,"rsp_soil",TRUE,NA,NA,NA,NA,NA
