"group","id","season","niche_type","n_points","n_axes","rsp_column","weighted","volume_observed","boot_path","volume_boot_mean","volume_lwr","volume_upr"
"veg","5181","Spring","Potential",181,13,"rsp_veg",TRUE,1.62002726689357e-07,NA,NA,NA,NA
"veg","5181","Spring","Realized",46,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5181","Summer","Potential",0,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5181","Summer","Realized",1,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5181","Autumn","Potential",7,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5181","Autumn","Realized",1,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5181","Winter","Potential",0,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5181","Winter","Realized",1,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5264","Spring","Potential",452,13,"rsp_veg",TRUE,1.53818781406164e-07,NA,NA,NA,NA
"veg","5264","Spring","Realized",83,13,"rsp_veg",TRUE,8.53412776823187e-08,NA,NA,NA,NA
"veg","5264","Summer","Potential",835,13,"rsp_veg",TRUE,2.94138724632583e-07,NA,NA,NA,NA
"veg","5264","Summer","Realized",169,13,"rsp_veg",TRUE,2.22800254640687e-07,NA,NA,NA,NA
"veg","5264","Autumn","Potential",121,13,"rsp_veg",TRUE,1.46914978687838e-07,NA,NA,NA,NA
"veg","5264","Autumn","Realized",24,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5264","Winter","Potential",68,13,"rsp_veg",TRUE,9.66777307655942e-08,NA,NA,NA,NA
"veg","5264","Winter","Realized",13,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5268","Spring","Potential",113,13,"rsp_veg",TRUE,1.42544494473642e-07,NA,NA,NA,NA
"veg","5268","Spring","Realized",29,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5268","Summer","Potential",25,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5268","Summer","Realized",35,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5268","Autumn","Potential",210,13,"rsp_veg",TRUE,4.10612937578594e-07,NA,NA,NA,NA
"veg","5268","Autumn","Realized",55,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5268","Winter","Potential",0,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5268","Winter","Realized",0,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5270","Spring","Potential",0,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5270","Spring","Realized",3,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5270","Summer","Potential",24,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5270","Summer","Realized",14,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5270","Autumn","Potential",158,13,"rsp_veg",TRUE,3.44800234553557e-07,NA,NA,NA,NA
"veg","5270","Autumn","Realized",34,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5270","Winter","Potential",0,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5270","Winter","Realized",0,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5277","Spring","Potential",13,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5277","Spring","Realized",7,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5277","Summer","Potential",2,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5277","Summer","Realized",11,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5277","Autumn","Potential",93,13,"rsp_veg",TRUE,1.46304023393028e-07,NA,NA,NA,NA
"veg","5277","Autumn","Realized",26,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5277","Winter","Potential",0,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5277","Winter","Realized",0,13,"rsp_veg",TRUE,NA,NA,NA,NA,NA
"veg","5278","Spring","Potential",142,13,"rsp_veg",TRUE,9.67476980020732e-08,NA,NA,NA,NA
