"id","niche_type","season_1","season_2","group","season_pair","jaccard","sorensen","frac_unique_1","frac_unique_2"
"5181","Potential","Autumn","Winter","humans","Autumn vs Winter",NA,NA,NA,NA
"5181","Potential","Spring","Autumn","humans","Spring vs Autumn",NA,NA,NA,NA
"5181","Potential","Spring","Summer","humans","Spring vs Summer",NA,NA,NA,NA
"5181","Potential","Spring","Winter","humans","Spring vs Winter",NA,NA,NA,NA
"5181","Potential","Summer","Autumn","humans","Summer vs Autumn",NA,NA,NA,NA
"5181","Potential","Summer","Winter","humans","Summer vs Winter",NA,NA,NA,NA
"5181","Realized","Autumn","Winter","humans","Autumn vs Winter",NA,NA,NA,NA
"5181","Realized","Spring","Autumn","humans","Spring vs Autumn",NA,NA,NA,NA
"5181","Realized","Spring","Summer","humans","Spring vs Summer",NA,NA,NA,NA
"5181","Realized","Spring","Winter","humans","Spring vs Winter",NA,NA,NA,NA
"5181","Realized","Summer","Autumn","humans","Summer vs Autumn",NA,NA,NA,NA
"5181","Realized","Summer","Winter","humans","Summer vs Winter",NA,NA,NA,NA
"5264","Potential","Autumn","Winter","humans","Autumn vs Winter",0.204618061586905,0.339722718946039,0.725386744503953,0.554698457223001
"5264","Potential","Spring","Autumn","humans","Spring vs Autumn",0.23972656356866,0.386741029213065,0.521212539280671,0.675620600222305
"5264","Potential","Spring","Summer","humans","Spring vs Summer",0.108742236435106,0.196154223879375,0.474840896591379,0.8794
"5264","Potential","Spring","Winter","humans","Spring vs Winter",0.411866936769641,0.583435911760912,0.442748152409816,0.387798036465638
"5264","Potential","Summer","Autumn","humans","Summer vs Autumn",0.086765394513575,0.159676402932227,0.8931,0.684621710340485
"5264","Potential","Summer","Winter","humans","Summer vs Winter",0.100288287124106,0.182294564611308,0.8898,0.472808516285112
"5264","Realized","Autumn","Winter","humans","Autumn vs Winter",NA,NA,NA,NA
"5264","Realized","Spring","Autumn","humans","Spring vs Autumn",NA,NA,NA,NA
"5264","Realized","Spring","Summer","humans","Spring vs Summer",0.198064261626837,0.330640463906147,0.404775280898876,0.771105695409704
"5264","Realized","Spring","Winter","humans","Spring vs Winter",NA,NA,NA,NA
"5264","Realized","Summer","Autumn","humans","Summer vs Autumn",NA,NA,NA,NA
"5264","Realized","Summer","Winter","humans","Summer vs Winter",NA,NA,NA,NA
"5268","Potential","Autumn","Winter","humans","Autumn vs Winter",NA,NA,NA,NA
"5268","Potential","Spring","Autumn","humans","Spring vs Autumn",0.380471696889568,0.551219844270381,0.35943695479778,0.516251485869766
"5268","Potential","Spring","Summer","humans","Spring vs Summer",NA,NA,NA,NA
"5268","Potential","Spring","Winter","humans","Spring vs Winter",NA,NA,NA,NA
"5268","Potential","Summer","Autumn","humans","Summer vs Autumn",NA,NA,NA,NA
"5268","Potential","Summer","Winter","humans","Summer vs Winter",NA,NA,NA,NA
"5268","Realized","Autumn","Winter","humans","Autumn vs Winter",NA,NA,NA,NA
"5268","Realized","Spring","Autumn","humans","Spring vs Autumn",NA,NA,NA,NA
"5268","Realized","Spring","Summer","humans","Spring vs Summer",NA,NA,NA,NA
"5268","Realized","Spring","Winter","humans","Spring vs Winter",NA,NA,NA,NA
"5268","Realized","Summer","Autumn","humans","Summer vs Autumn",0.284828827030979,0.443372410454349,0.386277687736359,0.652956021073034
"5268","Realized","Summer","Winter","humans","Summer vs Winter",NA,NA,NA,NA
"5270","Potential","Autumn","Winter","humans","Autumn vs Winter",NA,NA,NA,NA
"5270","Potential","Spring","Autumn","humans","Spring vs Autumn",NA,NA,NA,NA
"5270","Potential","Spring","Summer","humans","Spring vs Summer",NA,NA,NA,NA
"5270","Potential","Spring","Winter","humans","Spring vs Winter",NA,NA,NA,NA
"5270","Potential","Summer","Autumn","humans","Summer vs Autumn",NA,NA,NA,NA
"5270","Potential","Summer","Winter","humans","Summer vs Winter",NA,NA,NA,NA
"5270","Realized","Autumn","Winter","humans","Autumn vs Winter",NA,NA,NA,NA
"5270","Realized","Spring","Autumn","humans","Spring vs Autumn",NA,NA,NA,NA
"5270","Realized","Spring","Summer","humans","Spring vs Summer",NA,NA,NA,NA
