"id","niche_type","season_1","season_2","group","season_pair","jaccard","sorensen","frac_unique_1","frac_unique_2"
"5181","Potential","Autumn","Winter","soil","Autumn vs Winter",NA,NA,NA,NA
"5181","Potential","Spring","Autumn","soil","Spring vs Autumn",NA,NA,NA,NA
"5181","Potential","Spring","Summer","soil","Spring vs Summer",NA,NA,NA,NA
"5181","Potential","Spring","Winter","soil","Spring vs Winter",NA,NA,NA,NA
"5181","Potential","Summer","Autumn","soil","Summer vs Autumn",NA,NA,NA,NA
"5181","Potential","Summer","Winter","soil","Summer vs Winter",NA,NA,NA,NA
"5181","Realized","Autumn","Winter","soil","Autumn vs Winter",NA,NA,NA,NA
"5181","Realized","Spring","Autumn","soil","Spring vs Autumn",NA,NA,NA,NA
"5181","Realized","Spring","Summer","soil","Spring vs Summer",NA,NA,NA,NA
"5181","Realized","Spring","Winter","soil","Spring vs Winter",NA,NA,NA,NA
"5181","Realized","Summer","Autumn","soil","Summer vs Autumn",NA,NA,NA,NA
"5181","Realized","Summer","Winter","soil","Summer vs Winter",NA,NA,NA,NA
"5264","Potential","Autumn","Winter","soil","Autumn vs Winter",0.217687123046926,0.357541964478073,0.686495176848875,0.584027555423356
"5264","Potential","Spring","Autumn","soil","Spring vs Autumn",0.252745236616349,0.403506202584352,0.664271443875224,0.494427710843373
"5264","Potential","Spring","Summer","soil","Spring vs Summer",0.158941286401038,0.274287038120132,0.675813889111233,0.7623
"5264","Potential","Spring","Winter","soil","Spring vs Winter",0.401713296618583,0.573174696405683,0.569982090166841,0.140784982935154
"5264","Potential","Summer","Autumn","soil","Summer vs Autumn",0.157841454470192,0.27264778586187,0.7973,0.583692772636573
"5264","Potential","Summer","Winter","soil","Summer vs Winter",0.121506920004843,0.216685100800481,0.8519,0.596414461294502
"5264","Realized","Autumn","Winter","soil","Autumn vs Winter",NA,NA,NA,NA
"5264","Realized","Spring","Autumn","soil","Spring vs Autumn",NA,NA,NA,NA
"5264","Realized","Spring","Summer","soil","Spring vs Summer",0.145526821313509,0.254078418079539,0.644681931135409,0.802262345007614
"5264","Realized","Spring","Winter","soil","Spring vs Winter",NA,NA,NA,NA
"5264","Realized","Summer","Autumn","soil","Summer vs Autumn",NA,NA,NA,NA
"5264","Realized","Summer","Winter","soil","Summer vs Winter",NA,NA,NA,NA
"5268","Potential","Autumn","Winter","soil","Autumn vs Winter",NA,NA,NA,NA
"5268","Potential","Spring","Autumn","soil","Spring vs Autumn",0.375550129942356,0.546036268351912,0.229690346083789,0.577092115787982
"5268","Potential","Spring","Summer","soil","Spring vs Summer",NA,NA,NA,NA
"5268","Potential","Spring","Winter","soil","Spring vs Winter",NA,NA,NA,NA
"5268","Potential","Summer","Autumn","soil","Summer vs Autumn",NA,NA,NA,NA
"5268","Potential","Summer","Winter","soil","Summer vs Winter",NA,NA,NA,NA
"5268","Realized","Autumn","Winter","soil","Autumn vs Winter",NA,NA,NA,NA
"5268","Realized","Spring","Autumn","soil","Spring vs Autumn",NA,NA,NA,NA
"5268","Realized","Spring","Summer","soil","Spring vs Summer",NA,NA,NA,NA
"5268","Realized","Spring","Winter","soil","Spring vs Winter",NA,NA,NA,NA
"5268","Realized","Summer","Autumn","soil","Summer vs Autumn",0.172664075027625,0.29448173386493,0.711167086481948,0.699644085875112
"5268","Realized","Summer","Winter","soil","Summer vs Winter",NA,NA,NA,NA
"5270","Potential","Autumn","Winter","soil","Autumn vs Winter",NA,NA,NA,NA
"5270","Potential","Spring","Autumn","soil","Spring vs Autumn",NA,NA,NA,NA
"5270","Potential","Spring","Summer","soil","Spring vs Summer",NA,NA,NA,NA
"5270","Potential","Spring","Winter","soil","Spring vs Winter",NA,NA,NA,NA
"5270","Potential","Summer","Autumn","soil","Summer vs Autumn",NA,NA,NA,NA
"5270","Potential","Summer","Winter","soil","Summer vs Winter",NA,NA,NA,NA
"5270","Realized","Autumn","Winter","soil","Autumn vs Winter",NA,NA,NA,NA
"5270","Realized","Spring","Autumn","soil","Spring vs Autumn",NA,NA,NA,NA
"5270","Realized","Spring","Summer","soil","Spring vs Summer",NA,NA,NA,NA
"5270","Realized","Spring","Winter","soil","Spring vs Winter",NA,NA,NA,NA
"5270","Realized","Summer","Autumn","soil","Summer vs Autumn",NA,NA,NA,NA
"5270","Realized","Summer","Winter","soil","Summer vs Winter",NA,NA,NA,NA
"5277","Potential","Autumn","Winter","soil","Autumn vs Winter",NA,NA,NA,NA
"5277","Potential","Spring","Autumn","soil","Spring vs Autumn",NA,NA,NA,NA
"5277","Potential","Spring","Summer","soil","Spring vs Summer",NA,NA,NA,NA
"5277","Potential","Spring","Winter","soil","Spring vs Winter",NA,NA,NA,NA
"5277","Potential","Summer","Autumn","soil","Summer vs Autumn",NA,NA,NA,NA
"5277","Potential","Summer","Winter","soil","Summer vs Winter",NA,NA,NA,NA
"5277","Realized","Autumn","Winter","soil","Autumn vs Winter",NA,NA,NA,NA
